municipio,coef_vial,se_vial,ci_vial_lower,ci_vial_upper,coef_area,se_area,ci_area_lower,ci_area_upper
San Juan de Cinco Pinos (Municipio),0.7890795854274621,0.3621404761809464,-0.023192592406570053,1.5041978853359723,-0.22324942699763162,0.07777339162730502,-0.39327006301613443,-0.06968326748016267
San Juan de Oriente (Municipio),0.8773199387620775,0.31546582964623376,0.2428214165944545,1.5327082385079713,-0.23928972741108895,0.0663161767913266,-0.3738712667570401,-0.10637357574691368
San Juan del Sur (Municipio),0.816700238166806,0.3483476781586375,0.045986966231429796,1.5068465067101446,-0.23153867617224444,0.07840867154849594,-0.400347348204672,-0.08343295740890806
San Lorenzo (Municipio),0.8260821808961919,0.34496452532891636,0.14126817605822073,1.6016001952152934,-0.2342305030543323,0.0798799101201945,-0.3866629102409848,-0.06554755415086766
San Marcos (Municipio),0.8811187155912341,0.337923343985059,0.23081098539085046,1.6402557697495337,-0.22907863067674852,0.07798751068931573,-0.3823156332211101,-0.07915265362809874
San Miguelito (Municipio),0.8298501594200469,0.35462879223571886,0.08911513075827125,1.5706797723612522,-0.2313198118481821,0.07764284503567595,-0.3880360704680436,-0.07880507936987856
San Pedro del Norte (Municipio),0.8484409476528697,0.3487542744386167,0.1881501370533519,1.6428293696266787,-0.22576406473557212,0.07892547366274841,-0.38411714813610914,-0.06610553447816551
San Rafael del Sur (Municipio),0.8506288925253791,0.35166560792499113,0.1838449535529815,1.6025763375827837,-0.23099791753017404,0.0792955627586958,-0.39463263716797325,-0.07665701868729856
Santa Teresa (Municipio),0.821503310966936,0.3426740433399003,0.15246162087919696,1.5873403055667954,-0.23141507388423885,0.07750747898393129,-0.3765436717296858,-0.07354904875636786
Santo Tomás del Norte (Municipio),0.8098633562014894,0.3388530589960519,0.08501322753517908,1.5217222921094598,-0.2218195133855003,0.07859769410342508,-0.3677560289209305,-0.058210944289220766
Somotillo (Municipio),0.8247236701385836,0.3627716985266958,0.0938865697895259,1.583062872270927,-0.23149762100314797,0.07931376524051945,-0.3890283062071338,-0.0648357560039403
Somoto (Municipio),0.8202037797012481,0.35320197971366923,0.11863933299924395,1.606419725550178,-0.2328848549619124,0.07700387444346773,-0.37660841612263085,-0.06803987044609881
Ticuantepe (Municipio),0.8591819851551006,0.32175914824863416,0.19699651483281147,1.5555053370973895,-0.25649533563683896,0.07633733108986315,-0.4135981654525436,-0.11743093060727837
Tipitapa (Municipio),0.8350732997904033,0.34695700783440014,0.15580776965134144,1.6126444450347732,-0.23167042804811053,0.07934827848955825,-0.3931085814019877,-0.06965779180863586
Tisma (Municipio),0.820162336594461,0.3461896522048167,0.11401990256634702,1.5588789994103363,-0.23573510393719985,0.07874338369359257,-0.3887998781705759,-0.06531594634286783
Tola (Municipio),0.8198313658813611,0.35401906387622645,0.12495621978551354,1.5965251792367743,-0.2323462440236141,0.077942511839152,-0.3938110217279459,-0.0809087420396711
Totogalpa (Municipio),0.7907009200400171,0.3523626760008978,0.05488209808014004,1.52751709320968,-0.22853326518336348,0.07828357854932437,-0.3817730112897871,-0.0688708761466251
Villa El Carmen (Municipio),0.8211032861775518,0.35435546810637764,0.07946376466754514,1.5159823455535584,-0.23416118757983223,0.07915910355083795,-0.38991942001894797,-0.0713526573362868
Villanueva (Municipio),0.8292633702674966,0.35289865874911,0.12618683707292416,1.5912188627920243,-0.23345484748583817,0.07514496848423065,-0.3915715705801245,-0.08836672486689537
